,post_message,num_like_post,num_comment_post,num_share_post
1361,"Chắc các anh_chị ở Việt_Nam không biết đến thông_tin này , nhưng em_gái em ở Pháp đã xác_nhận là bên đấy thông_báo đóng_cửa - cấm_cửa người dân trong 3 tháng tới . Không có đi đâu cả nhé , chỉ được gọi đồ ăn online thôi . Khổ lắm anh_chị ạ , nên mọi người trân_trọng_đãi_ngộ ở Việt_Nam nhé . Em xót mà thương con_bé bây_giờ không biết phải làm thế_nào ...",642,125,88
1051,"Ý là ông chủ_tịch xã , bà bí_thư huyện hay thím giám_đốc sở .... ở xứ mình hổng giống mọi người à 🥴 🥴 🥴",255,47,36
1507,"Giả nhân_giả nghĩa , gây ra dịch_bệnh rồi sắm_vai "" hiệp_sĩ "" mang vật_tư y_tế ( đồ dởm ) đi cứu các nước , trong khi bỏ mặc đồng_bào ở Nga chịu_trận , đóng cửa không cho về .. cả Đại_sứ ở Nga lẫn chính_phủ Trung_Quốc bị dân_chúng chửi sấp_mặt !",104,11,15
1125,Chào buổi sáng Post lại hình cho pà kon được rõ cái nhể để mấy bác biết tới anh_em người_thân nhà ông Phiến . 1 . Doãn Quý Chính 2 . Doãn Quý_Phương 3 . Doãn Quý_Phi 4 . Doãn Quý_Phiến_He he vậy ông nào là ông Phiến vậy ta P / s : được cái nét cả 4 anh_em đều có mái_tóc giống nhao :),115,30,20
48,"+ Xổ_số kiến_thiết miền Bắc ( XSMB , SXMB ) : Chính_thức quay lại vào ngày 23 tháng 4 . + Xổ_số kiến_thiết miền Nam ( XSMN , SXMN ) : Dự_kiến quay lại vào ngày 29 tháng 4 . + Xổ_số miền Trung : Chính_thức quay lại vào ngày 24 tháng 4 . + Vietlott : Chính_thức quay lại vào ngày 24 tháng 4 .",8,0,10
648,"Bài dự thi Em nhảy Ghen Cô Vy của thí_sinh Dươn_Gia_Uy , số báo_danh 182 đến từ < URL > Hãy gửi video tham_dự cuộc thi Em nhảy Ghen Cô Vy đến < URL > ---- Tham_gia cuộc thi ' Em nhảy Ghen Cô Vy ' , rinh ngay giải_thưởng mê_ly Mỗi bài dự thi bao_gồm : + Video nhảy Ghen Cô Vy của thí_sinh + Thông_tin của thí_sinh ( Họ và tên đầy_đủ , ngày tháng năm sinh ) và thông_tin của phụ_huynh ( Họ và tên đầy_đủ , số điện_thoại liên_hệ , email , địa_chỉ liên_hệ ) + 1 hoặc nhiều ảnh chân_dung thí_sinh , có_thể là ảnh đang nhảy hoặc ảnh bình chụp chân_dung bình_thường ( File_ảnh chất_lượng cao ) Cuộc thi Em nhảy Ghen Cô Vy do Báo Thanh_Niên phát_động tổ_chức nhằm góp_phần cùng cộng_đồng nâng cao nhận_thức của người dân , đặc_biệt là trẻ_em về tầm quan_trọng của việc rửa tay , vệ_sinh cá_nhân phòng_chống bệnh Covid-19 . Thí_sinh quay video nhảy mô_phỏng lại vũ_điệu rửa tay trên nền nhạc ca_khúc Ghen Cô Vy và gửi tới chương_trình . Vũ_đạo có_thể giống vũ_điệu rửa tay của vũ_công Quang_Đăng hoặc tự sáng_tạo vũ_điệu mới mà không làm mất đi tinh_thần và thông_điệp của bài hát Ghen Cô Vy . Cuộc thi dành cho thí_sinh sinh từ ngày 1.1.2005 trở về sau với giải_thưởng gồm : - 1 giải nhất : 20.000.000 đồng - 2 giải nhì : 10.000.000 đồng - 3 giải ba : 5.000.000 đồng - 5 giải khuyến_khích : 1.000.000 đồng - 1 giải video được yêu_thích nhất : 15.000.000 đồng Ngoài_ra , giải Nhất và giải Nhì được tặng mỗi giải 2 thùng sữa Care100_Gold 180 ml , các giải còn lại mỗi giải được tặng 1 thùng sữa Care100_Gold 180 ml Bên_cạnh cuộc thi chính_thức dành cho thí_sinh sinh_từ 1.1.2005 trở về sau , Ban Tổ_chức cũng phát_động chương_trình hưởng_ứng cuộc thi Em nhảy Ghen Cô Vy . Theo đó , các cá_nhân và tập_thể ở mọi độ tuổi được hoan_nghênh gửi video “ nhảy điệu Ghen_Cô Vy ” tới Ban tổ_chức để hưởng_ứng , cổ_vũ cho các thí_sinh nhỏ_tuổi . Hãy gửi video tham_dự cuộc thi Em nhảy Ghen Cô Vy đến < URL > Xem thông_tin chi_tiết về thể_lệ cuộc thi tại đây : < URL > # emnhayghencovy # ghencovydance",39,1,10
619,"Tinh_thần “ phá vỡ mọi giới_hạn ” của Samsung đã tạo nên một điều kỳ_diệu , vượt qua cả các quy_tắc vật_lý thông_thường .",1,0,0
487,"Bài dự thi Em nhảy Ghen Cô Vy của thí_sinh Nguyễn_Ngọc_Tú_Quyên , số báo_danh 014 đến từ < URL > ---- Tham_gia cuộc thi ' Em nhảy Ghen Cô Vy ' , rinh ngay giải_thưởng mê_ly Hãy gửi video tham_dự cuộc thi Em nhảy Ghen Cô Vy đến < URL > Mỗi bài dự thi bao_gồm : + Video nhảy Ghen Cô Vy của thí_sinh + Thông_tin của thí_sinh ( Họ và tên đầy_đủ , ngày tháng năm sinh ) và thông_tin của phụ_huynh ( Họ và tên đầy_đủ , số điện_thoại liên_hệ , email , địa_chỉ liên_hệ ) + 1 hoặc nhiều ảnh chân_dung thí_sinh , có_thể là ảnh đang nhảy hoặc ảnh bình chụp chân_dung bình_thường ( File_ảnh chất_lượng cao ) Cuộc thi Em nhảy Ghen Cô Vy do Báo Thanh_Niên phát_động tổ_chức nhằm góp_phần cùng cộng_đồng nâng cao nhận_thức của người dân , đặc_biệt là trẻ_em về tầm quan_trọng của việc rửa tay , vệ_sinh cá_nhân phòng_chống bệnh Covid-19 . Thí_sinh quay video nhảy mô_phỏng lại vũ_điệu rửa tay trên nền nhạc ca_khúc Ghen Cô Vy và gửi tới chương_trình . Vũ_đạo có_thể giống vũ_điệu rửa tay của vũ_công Quang_Đăng hoặc tự sáng_tạo vũ_điệu mới mà không làm mất đi tinh_thần và thông_điệp của bài hát Ghen Cô Vy . Cuộc thi dành cho thí_sinh sinh từ ngày 1.1.2005 trở về sau với giải_thưởng gồm : - 1 giải nhất : 20.000.000 đồng - 2 giải nhì : 10.000.000 đồng - 3 giải ba : 5.000.000 đồng - 5 giải khuyến_khích : 1.000.000 đồng - 1 giải video được yêu_thích nhất : 15.000.000 đồng Bên_cạnh cuộc thi chính_thức dành cho thí_sinh sinh_từ 1.1.2005 trở về sau , Ban Tổ_chức cũng phát_động chương_trình hưởng_ứng cuộc thi Em nhảy Ghen Cô Vy . Theo đó , các cá_nhân và tập_thể ở mọi độ tuổi được hoan_nghênh gửi video “ nhảy điệu Ghen_Cô Vy ” tới Ban tổ_chức để hưởng_ứng , cổ_vũ cho các thí_sinh nhỏ_tuổi . Hãy gửi video tham_dự cuộc thi Em nhảy Ghen Cô Vy đến < URL > Xem thông_tin chi_tiết về thể_lệ cuộc thi tại đây : < URL > # emnhayghencovy # ghencovydance",28,2,10
402,"TRỰC_TIẾP : Tọa_đàm thị_trường Bất_động_sản thế_nào sau dịch Covid-19 ? Ngày 11.6 tại < URL > , Báo Thanh_Niên sẽ tổ_chức hội_thảo “ Thị_trường bất_động_sản ( BĐS ) thế_nào sau dịch_Covid-19 ? ” . # tọađàm # bấtđộngiáo sưản # Covid19",118,27,480
1047,"Đấy bọn dân_cư vô_ý_thức ! ! ! Có đứa trốn cách_ly ở khu Trúc_Bạch để về Phú_Phương , Ba_Vì này bà_con ơi ! ! !",261,11,14
